"","algorithm","iomode","image","nthreads","imsize","media","desv_pad"
"87","omp","withoutIO","full",4,1024,0.05545,0.000510417785534041
"88","omp","withoutIO","full",4,2048,0.21835,0.00200722379629703
"89","omp","withoutIO","full",4,4096,0.8653,0.00597450724680331
"90","omp","withoutIO","full",4,8192,3.44845,0.0254175136470899
"91","omp","withoutIO","full",8,16,0.001,0
"92","omp","withoutIO","full",8,32,0.001,0
"93","omp","withoutIO","full",8,64,0.001,0
"94","omp","withoutIO","full",8,128,0.0019,0.000307793505625546
"95","omp","withoutIO","full",8,256,0.003,0
"96","omp","withoutIO","full",8,512,0.0099,0.0012096106376586
"97","omp","withoutIO","full",8,1024,0.035,0.00205195670417031
"98","omp","withoutIO","full",8,2048,0.1339,0.00224546326248235
"99","omp","withoutIO","full",8,4096,0.52905,0.00419868400435435
"100","omp","withoutIO","full",8,8192,2.10185,0.00982089608946143
"101","omp","withoutIO","full",16,16,0.00105,0.000223606797749979
"102","omp","withoutIO","full",16,32,0.00105,0.000223606797749979
"103","omp","withoutIO","full",16,64,0.00105,0.000223606797749979
"104","omp","withoutIO","full",16,128,0.00205,0.000223606797749979
"105","omp","withoutIO","full",16,256,0.0039,0.000307793505625546
"106","omp","withoutIO","full",16,512,0.0104,0.000502624689950034
"107","omp","withoutIO","full",16,1024,0.0359,0.0013337718577107
"108","omp","withoutIO","full",16,2048,0.13425,0.00116415770318919
"109","omp","withoutIO","full",16,4096,0.533,0.013498537932524
"110","omp","withoutIO","full",16,8192,2.1254,0.0269099864069281
"111","omp","withoutIO","full",32,16,0.0017,0.000470162345981627
"112","omp","withoutIO","full",32,32,0.0015,0.000512989176042577
"113","omp","withoutIO","full",32,64,0.002,0
"114","omp","withoutIO","full",32,128,0.0022,0.000523148363780597
"115","omp","withoutIO","full",32,256,0.004,0
"116","omp","withoutIO","full",32,512,0.01065,0.000489360484929593
"117","omp","withoutIO","full",32,1024,0.03665,0.00159851905146443
"118","omp","withoutIO","full",32,2048,0.13495,0.00173129096949433
"119","omp","withoutIO","full",32,4096,0.53215,0.00354334067765079
"120","omp","withoutIO","full",32,8192,2.1322,0.0187296556295091
"121","omp","withoutIO","seahorse",1,16,0.001,0
"122","omp","withoutIO","seahorse",1,32,0.00225,0.000444261658319319
"123","omp","withoutIO","seahorse",1,64,0.00705,0.000223606797749979
"124","omp","withoutIO","seahorse",1,128,0.0265,0.00123544153624269
"125","omp","withoutIO","seahorse",1,256,0.1011,0.00148323969741913
"126","omp","withoutIO","seahorse",1,512,0.401,0.00414220891998968
"127","omp","withoutIO","seahorse",1,1024,1.60875,0.00835322188077592
"128","omp","withoutIO","seahorse",1,2048,6.4231,0.0275698156838617
"129","omp","withoutIO","seahorse",1,4096,25.65185,0.125364846495507
"130","omp","withoutIO","seahorse",1,8192,102.37095,0.340025149998612
"131","omp","withoutIO","seahorse",2,16,0.001,0
"132","omp","withoutIO","seahorse",2,32,0.002,0
"133","omp","withoutIO","seahorse",2,64,0.004,0
"134","omp","withoutIO","seahorse",2,128,0.01385,0.000366347548532523
"135","omp","withoutIO","seahorse",2,256,0.05125,0.00078639751565705
"136","omp","withoutIO","seahorse",2,512,0.20225,0.00276966651992237
"137","omp","withoutIO","seahorse",2,1024,0.80245,0.00579904710865682
"138","omp","withoutIO","seahorse",2,2048,3.20365,0.013604469079952
"139","omp","withoutIO","seahorse",2,4096,12.78575,0.0558577846433526
"140","omp","withoutIO","seahorse",2,8192,51.3004,0.210625984301933
"141","omp","withoutIO","seahorse",4,16,0.001,0
"142","omp","withoutIO","seahorse",4,32,0.001,0
"143","omp","withoutIO","seahorse",4,64,0.003,0
"144","omp","withoutIO","seahorse",4,128,0.0074,0.000502624689950035
"145","omp","withoutIO","seahorse",4,256,0.02655,0.000510417785534041
"146","omp","withoutIO","seahorse",4,512,0.102,0.000973328526784571
"147","omp","withoutIO","seahorse",4,1024,0.4008,0.00164156536333625
"148","omp","withoutIO","seahorse",4,2048,1.60185,0.00476030737618798
"149","omp","withoutIO","seahorse",4,4096,6.3991,0.0227339301254174
"150","omp","withoutIO","seahorse",4,8192,25.60625,0.0675191006113714
"151","omp","withoutIO","seahorse",8,16,0.00115,0.000489360484929593
"152","omp","withoutIO","seahorse",8,32,0.001,0
"153","omp","withoutIO","seahorse",8,64,0.00205,0.000223606797749979
"154","omp","withoutIO","seahorse",8,128,0.00405,0.000223606797749979
"155","omp","withoutIO","seahorse",8,256,0.01405,0.000223606797749979
"156","omp","withoutIO","seahorse",8,512,0.0599,0.00422897275071805
"157","omp","withoutIO","seahorse",8,1024,0.23745,0.00114593101656987
"158","omp","withoutIO","seahorse",8,2048,0.9428,0.00367924477376311
"159","omp","withoutIO","seahorse",8,4096,3.7596,0.0039121941615792
"160","omp","withoutIO","seahorse",8,8192,15.02215,0.0108252871604067
"161","omp","withoutIO","seahorse",16,16,0.00105,0.000223606797749979
"162","omp","withoutIO","seahorse",16,32,0.00155,0.000604805318829299
"163","omp","withoutIO","seahorse",16,64,0.00215,0.000489360484929593
"164","omp","withoutIO","seahorse",16,128,0.0055,0.000606976978666884
"165","omp","withoutIO","seahorse",16,256,0.017,0.000725476250110011
"166","omp","withoutIO","seahorse",16,512,0.06255,0.00330031896385151
"167","omp","withoutIO","seahorse",16,1024,0.23945,0.00601292467588733
"168","omp","withoutIO","seahorse",16,2048,0.9529,0.0235414528013885
"169","omp","withoutIO","seahorse",16,4096,3.7872,0.00907628488801568
